query_id,best_hit
sp|A6H8Y1|BDP1_HUMAN,5N9G_H
sp|O14960|LECT2_HUMAN,5B0H_A
sp|O15212|PFD6_HUMAN,3AEI_B
sp|O15394|NCAM2_HUMAN,4LIQ_E
sp|O15514|RPB4_HUMAN,7OL0_D
sp|O75365|TP4A3_HUMAN,1R6H_A
sp|O75400|PR40A_HUMAN,7ABF_A4
sp|O75509|TNR21_HUMAN,3U3S_A
sp|O75792|RNH2A_HUMAN,3PUF_M
sp|P04553|HSP1_HUMAN,2JA1_A
sp|P08195|4F2_HUMAN,7CCS_A
sp|P09486|SPRC_HUMAN,1SRA_A
sp|P0DMS8|AA3R_HUMAN,5UEN_A
sp|P19419|ELK1_HUMAN,1HBX_H
sp|P22003|BMP5_HUMAN,5FFO_D
sp|P24347|MMP11_HUMAN,1GXD_A
sp|P25100|ADA1D_HUMAN,5ZTY_A
sp|P25106|ACKR3_HUMAN,7BR3_A
sp|P27544|CERS1_HUMAN,4H3T_A
sp|P28069|PIT1_HUMAN,6T90_K
sp|P31947|1433S_HUMAN,7NFW_A
sp|P33240|CSTF2_HUMAN,7DVQ_4
sp|P43304|GPDM_HUMAN,2RGO_B
sp|P48307|TFPI2_HUMAN,7V1N_K
sp|P54132|BLM_HUMAN,4CGZ_A
sp|P55289|CAD12_HUMAN,1Q5C_B
sp|P60709|ACTB_HUMAN,6FML_J
sp|Q00978|IRF9_HUMAN,2O61_A
sp|Q05901|ACHB3_HUMAN,6Y5A_D
sp|Q13641|TPBG_HUMAN,4CNM_A
sp|Q14032|BAAT_HUMAN,3HLK_B
sp|Q14164|IKKE_HUMAN,6NT9_B
sp|Q14332|FZD2_HUMAN,7EVW_R
sp|Q14839|CHD4_HUMAN,6RYU_W
sp|Q15036|SNX17_HUMAN,4GXB_A
sp|Q15047|SETB1_HUMAN,4QEO_A
sp|Q15058|KIF14_HUMAN,5MM7_K
sp|Q16891|MIC60_HUMAN,7VOP_f
tr|Q5T9B7|Q5T9B7_HUMAN,3L0S_C
sp|Q5TCY1|TTBK1_HUMAN,4BTK_A
sp|Q5VTY9|HHAT_HUMAN,7MHZ_A
sp|Q5VU43|MYOME_HUMAN,6X0V_H
sp|Q5VV43|K0319_HUMAN,6NZ0_Z
sp|Q68G75|LEMD1_HUMAN,7NDY_G
sp|Q6IN84|MRM1_HUMAN,1GZ0_F
sp|Q6SZW1|SARM1_HUMAN,7CM7_B
sp|Q712K3|UB2R2_HUMAN,6ZHU_H
sp|Q7Z6J9|SEN54_HUMAN,4FZ2_A
sp|Q8J025|APCD1_HUMAN,2WWS_A
sp|Q8N0W3|FCSK_HUMAN,5YYS_B
sp|Q8N196|SIX5_HUMAN,4EGC_A
sp|Q8N3J6|CADM2_HUMAN,5ZO2_C
sp|Q8N5Z5|KCD17_HUMAN,3DRY_C
sp|Q8N6R1|SERP2_HUMAN,6M17_D
sp|Q8NBD8|T229B_HUMAN,6YNY_B
sp|Q8NBF2|NHLC2_HUMAN,6GC1_C
sp|Q8NBJ5|GT251_HUMAN,6TEC_A
sp|Q8NDL9|CBPC5_HUMAN,4A39_B
sp|Q8NFA2|NOXO1_HUMAN,2DYB_B
sp|Q8NG50|RDM1_HUMAN,1H2I_O
sp|Q8TDI8|TMC1_HUMAN,6WUD_B
sp|Q8WXD2|SCG3_HUMAN,6HLX_A
sp|Q92556|ELMO1_HUMAN,7DPA_C
sp|Q96BF3|TMIG2_HUMAN,6X4G_A
sp|Q96DV4|RM38_HUMAN,7NQH_Bb
sp|Q96FM1|PGAP3_HUMAN,6YXH_A
sp|Q96GX5|GWL_HUMAN,5LOH_B
sp|Q96HB5|CC120_HUMAN,7N9F_z
sp|Q96JA3|PKHA8_HUMAN,5KDI_A
sp|Q96K80|ZC3HA_HUMAN,6DNH_C
sp|Q99935|PROL1_HUMAN,7RD1_M
sp|Q9BQ16|TICN3_HUMAN,1BMO_A
sp|Q9BTN0|LRFN3_HUMAN,5XNQ_A
sp|Q9BVS5|TR61B_HUMAN,2B25_A
sp|Q9GZW8|MS4A7_HUMAN,6Y92_B
sp|Q9GZY8|MFF_HUMAN,1W8X_P
sp|Q9H0A8|COMD4_HUMAN,6BP6_B
sp|Q9H0C5|BTBD1_HUMAN,6WCQ_C
sp|Q9HBI1|PARVB_HUMAN,6ANU_f
sp|Q9HD23|MRS2_HUMAN,3RKG_A
sp|Q9NRS6|SNX15_HUMAN,6MBI_A
sp|Q9NWS1|PARI_HUMAN,4P1M_B
sp|Q9NZH7|IL36B_HUMAN,6HPI_A
sp|Q9P2B4|CT2NL_HUMAN,7DL2_D
sp|Q9P2K5|MYEF2_HUMAN,3VF0_B
sp|Q9P2P6|STAR9_HUMAN,5MM7_K
sp|Q9UBF8|PI4KB_HUMAN,4WAE_A
sp|Q9UBG0|MRC2_HUMAN,7JPT_A
sp|Q9UG56|PISD_HUMAN,7CNW_C
sp|Q9UHQ9|NB5R1_HUMAN,6MV2_A
sp|Q9UI30|TR112_HUMAN,2J6A_A
sp|Q9UIV8|SPB13_HUMAN,1JMO_A
sp|Q9ULF5|S39AA_HUMAN,5TSA_A
sp|Q9UM13|APC10_HUMAN,1GQP_B
sp|Q9UPQ0|LIMC1_HUMAN,1P5S_A
sp|Q9Y265|RUVB1_HUMAN,4WW4_B
sp|Q9Y2M5|KLH20_HUMAN,6WCQ_C
sp|Q9Y458|TBX22_HUMAN,5BQD_A
sp|Q9Y592|CEP83_HUMAN,6SO3_B
sp|Q9Y5U4|INSI2_HUMAN,7ETW_A
sp|Q9Y6P5|SESN1_HUMAN,5CUF_D
sp|Q9Y6V0|PCLO_HUMAN,7T7C_H
sp|Q9Y6Y8|S23IP_HUMAN,6X9O_A
sp|P01733|TVBL3_HUMAN,6HDC_A
sp|P58557|YBEY_HUMAN,1OZ9_A
sp|Q14681|KCTD2_HUMAN,3DRY_C
sp|Q6IPT4|NB5R5_HUMAN,4P6V_F
sp|Q86WN2|IFNE_HUMAN,7E0E_A
sp|Q96NX9|DACH2_HUMAN,1L8R_A
sp|Q9BY21|GPR87_HUMAN,4PXZ_A
sp|Q9P242|NYAP2_HUMAN,6HIF_J
sp|Q9P2E7|PCD10_HUMAN,6VG4_A
sp|Q9P2J8|ZN624_HUMAN,6QNX_C
tr|A0A087WT80|A0A087WT80_HUMAN,4GNK_D
sp|A0A0B4J2H0|HV69D_HUMAN,3N44_F
tr|A0A140T9T7|A0A140T9T7_HUMAN,5U1D_A
tr|A0A2U3TZI3|A0A2U3TZI3_HUMAN,6A69_A
sp|A4QMS7|CFA90_HUMAN,6U42_8B
tr|A6NFW1|A6NFW1_HUMAN,7AO8_B
sp|A6PVS8|LRIQ3_HUMAN,4LXR_A
tr|F5H875|F5H875_HUMAN,6ZH3_A
tr|H0YH81|H0YH81_HUMAN,5D80_b
sp|Q17R55|F187B_HUMAN,3OL2_A
sp|Q2VY69|ZN284_HUMAN,6QNX_C
sp|Q5GH73|XKR6_HUMAN,7DCE_X
tr|Q5JQP4|Q5JQP4_HUMAN,4I2F_A
sp|Q6UW10|SFTA2_HUMAN,6BTC_A
sp|Q8IWB4|S31A7_HUMAN,6DS5_A
tr|Q8NG42|Q8NG42_HUMAN,7KW7_F
sp|Q8NG83|OR2M3_HUMAN,7BVQ_B
sp|Q96E66|LRC51_HUMAN,4WWU_H
sp|Q96R08|OR5BC_HUMAN,7JOZ_R
sp|Q96RM1|SPR2F_HUMAN,1ZLG_A
sp|Q9H939|PPIP2_HUMAN,5C1F_B
sp|Q9Y426|C2CD2_HUMAN,5TOD_D
tr|A0A087WV90|A0A087WV90_HUMAN,1EG4_A
tr|A0A087WVT6|A0A087WVT6_HUMAN,6TYD_A
tr|A0A0A0MRN1|A0A0A0MRN1_HUMAN,3HTX_D
tr|A0A0A0MSI3|A0A0A0MSI3_HUMAN,3RHG_A
tr|A0A0A0MSN4|A0A0A0MSN4_HUMAN,6M17_D
sp|A0A0A0MT76|LJ01_HUMAN,3MUU_A
tr|A0A0G2JRN8|A0A0G2JRN8_HUMAN,5TUY_A
tr|A0A0U1RRB6|A0A0U1RRB6_HUMAN,6VKL_F
sp|A0A1B0GUA7|TEX51_HUMAN,6X62_AX
tr|A0A1C7CYZ0|A0A1C7CYZ0_HUMAN,6PCV_A
tr|A0A1W2PQN6|A0A1W2PQN6_HUMAN,4WZI_B
tr|A0A1X7SBT4|A0A1X7SBT4_HUMAN,6IDF_B
tr|A0A2R8Y523|A0A2R8Y523_HUMAN,6LTJ_I
tr|A0A2R8Y526|A0A2R8Y526_HUMAN,6LTJ_I
tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN,7OLD_LH
tr|A0A2R8YCH5|A0A2R8YCH5_HUMAN,2Z6G_A
tr|A0A3B3ITL7|A0A3B3ITL7_HUMAN,7DVQ_4
tr|A0A3B3IU66|A0A3B3IU66_HUMAN,6J4Z_W
tr|A0A494BZX7|A0A494BZX7_HUMAN,2YJF_M
tr|A0A6Q8PGJ3|A0A6Q8PGJ3_HUMAN,5MM7_K
tr|A0A6Q8PGN9|A0A6Q8PGN9_HUMAN,4YKN_A
tr|A0A6Q8PHF8|A0A6Q8PHF8_HUMAN,6OB7_A
tr|A0A7I2V2U7|A0A7I2V2U7_HUMAN,6R5K_H
tr|A0A7I2V311|A0A7I2V311_HUMAN,4WXX_B
tr|A0A7I2YQL8|A0A7I2YQL8_HUMAN,5FFO_D
tr|A0A7P0T9R4|A0A7P0T9R4_HUMAN,5NUG_B
tr|A0A7P0T9W4|A0A7P0T9W4_HUMAN,4H8S_C
tr|A0A7P0TBE6|A0A7P0TBE6_HUMAN,5X89_A
tr|A0A804HI24|A0A804HI24_HUMAN,3GTD_B
tr|A0A8I5KP17|A0A8I5KP17_HUMAN,6TB4_K
